_id,singkat,hasil
3380,takpe,tidak apa-apa
3381,taksuka,tidak suka
3382,taktau,tidak tau
3383,tanggalny,tanggalnya
3384,tanggane,tetangganya
3385,tangi,bangun
3386,tangkep,tangkap
3387,tangkiny,tangkinya
3388,tanguh,tangguh
3389,tangung,tanggung
3390,tanks,terimakasih
3391,tanye,tanya
3392,tar,nanti
3393,tasih,masih
3394,taudah,tau dah
3395,taudeh,tau dah
3396,taugak,tau tidak
3397,taun,tahun
3398,taunan,tahunan
3399,taunih,tau nih
3400,tauny,taunya
3401,td,tadi
3402,tdaftar,terdaftar
3403,tdak,tidak
3404,tdi,tadi
3405,tdiny,tadinya
3406,tdinya,tadinya
3407,tdk,tidak
3408,tebakar,terbakar
3409,tebel,tebal
3410,tebengkalai,terbengkalai
3411,tegoran,teguran
3412,tejual,terjual
3413,tekape,Tempat Kejadian Perkara
3414,tekok,tanya
3415,tekon,tanya
3416,telfon,telepon
3417,telimakacih,terimakasih
3418,telp,telepon
3419,telpon,telepon
3420,telu,tiga
3421,temn,teman
3422,tenks,terimakasih
3423,tenkyu,terimakasih
3424,tentuin,tentukan
3425,terbnyak,terbanyak
3426,tereak,teriak
3427,terpangang,terpanggang
3428,tetep,tetap
3429,teteup,tetap
3430,teu,tidak
3431,tga,tega
3432,tgah,tengah
3433,tgantung,tergantung
3434,tggal,tanggal
3435,tggalan,tanggalan
3436,tggi,tinggi
3437,tggl,tanggal
3438,tggu,tunggu
3439,tgihan,tagihan
3440,tgjawab,tanggungjawab
3441,tgkat,tingkat
3442,tgl,tanggal
3443,tgn,tangan
3444,tgs,tugas
3445,thanks,terimakasih
3446,thanx,terimakasih
3447,they,mereka
3448,thn,tahun
3449,thx,terimakasih
3450,tidor,tidur
3451,tiker,tikar
3452,time,waktu
3453,timnas,tim nasional
3454,tingal,tinggal
3455,tingalen,tinggalkan saja
3456,tingalin,tinggalkan
3457,tinggl,tinggal
3458,tingi,tinggi
3459,tjawab,terjawab
3460,tjd,terjadi
3461,tkejut,terkejut
3462,tkg,tukang
3463,tki,tenaga kerja Idonesia
3464,tkp,Tempat Kejadian Perkara
3465,tkpaham,tidak paham
3466,tkpe,Tempat Kejadian Perkara
3467,tks,terimakasih
3468,tku,beli
3469,tkut,takut
3470,tkutnya,takutnya
3471,tlah,telah
3472,tlanjur,terlanjur
3473,Tlf,telepon
3474,tlg,tolong
3475,tlh,telah
3476,tlng,tolong
3477,tlong,tolong
3478,tlor,telor
3479,tlp,telepon
3480,tlpn,telepon
3481,tlpnan,teleponan
3482,tman,teman
3483,tmbah,tambah
3484,tmben,tumben
3485,tmbh,tambah
3486,tmbhan,tambahan
3487,tmbhn,tambahan
3488,tmen,teman
3489,tmenan,berteman
3490,tmenya,temannya
3491,tmn,teman
3492,tmnin,temani
3493,tmnny,temannya
3494,tmnnya,temannya
3495,tmpat,tempat
3496,tmpat2,tempat-tempat
3497,tmpatny,tempatnya
3498,tmpt,tempat
3499,tmsk,termasuk
3500,tmt,tamat
3501,tmu,temu
3502,tmukn,temukan
3503,tnang,tenang
3504,tndk,tindak
3505,tndng,tanding
3506,tng,tenang
3507,tngah,tengah
3508,tngal,tinggal
3509,tngerang,tangerang
3510,tnggal,tinggal
3511,tnggi,tinggi
3512,tnggl,tinggal
3513,tnggu,tunggu
3514,tnggung,tanggung
3515,tngh,tengah
3516,tngi,tinggi
3517,tngkap,tangkap
3518,tngkrongan,tongkrongan
3519,tngl,tinggal
3520,tngn,tangan
3521,tngrng,tangerang
3522,tngu,tunggu
3523,tnp,tanpa
3524,tnpa,tanpa
3525,tntu,tentu
3526,tny,tanya
3527,tnya,tanya
3528,tnyaen,tanyakan
3529,tnye,tanya
3530,tnykan,tanyakan
3531,tnyt,ternyata
3532,to,untuk
3533,today,hari ini
3534,tonight,malam ini
3535,tp,tetapi
3536,tpi,tapi
3537,tpt,tepat
3538,tq,terimakasih
3539,trbaik,terbaik
3540,trbang,terbang
3541,trbaru,terbaru
3542,trbng,terbang
3543,trbntuk,terbentuk
3544,trbnyk,terbanyak
3545,trbuat,terbuat
3546,trcela,tercela
3547,tresno,suka
3548,trf,tarif
3549,trget,target
3550,trgntung,tergantung
3551,trguling,terguling
3552,trhambat,terhambat
3553,trhormat,terhormat
3554,trhrmat,terhormat
3555,triak,teriak
3556,trjd,terjadi
3557,trjual,terjual
3558,trkait,terkait
3559,trkenal,terkenal
3560,trkhir,terakhir
3561,trktir,traktir
3562,trlalu,terlalu
3563,trlanjur,terlanjur
3564,trlihat,terlihat
3565,trllu,terlalu
3566,trlu,terlalu
3567,trm,terima
3568,trmasuk,termasuk
3569,trminal,terminal
3570,trminat,terminat
3571,trmksi,terimakasih
3572,trmsk,termasuk
3573,trnsaksi,transaksi
3574,trnsksi,transaksi
3575,trnyata,ternyata
3576,trnyt,ternyata
3577,trptong,terpotong
3578,trpuji,terpuji
3579,trs,terus
3580,trserah,terserah
3581,trtentu,tertentu
3582,TRUE,benar
3583,trus,terus
3584,trust,terpercaya
3585,trutama,terutama
3586,truth,kebenaran
3587,try,mencoba
3588,trz,terus
3589,tsb,tersebut
3590,ttap,tetap
3591,ttapi,tetapi
3592,ttd,tanda tangan
3593,ttng,tentang
3594,ttpi,tetapi
3595,ttwa,tertawa
3596,tu,itu
3597,tuiter,twitter
3598,tuiteran,twitteran
3599,tuiterku,twitterku
3600,tuker,tukar
3601,tukeran,bertukar
3602,tukoke,belikan
3603,tukokne,belikan
3604,tukokno,belikan
3605,tukr,tukar
3606,tuku,beli
3607,tukuen,beli saja
3608,tungu,tunggu
3609,tungulah,tunggulah
3610,tunjukan,tunjukkan
3611,tunjukin,tunjukkan
3612,turu,tidur
3613,tv,televisi
3614,twet,tweet
3615,twit,tweet
3616,twiter,twitter
3617,twiteran,twitteran
3618,u,kamu
3619,u/,untuk
3620,ud,sudah
3621,uda,sudah
3622,udah,sudah
3623,Ude,sudah
3624,udeh,sudah
3625,udh,sudah
3626,uga,tidak
3627,ugak,tidak
3628,ujan,hujan
3629,uke,oke
3630,ulngn,ulangan
3631,ultah,ulang tahun
3632,ulth,ulang tahun
3633,uncle,paman
3634,unyu,lucu
3635,unyukan,lucukan
3636,utamain,utamakan
3637,utk,untuk
3638,vacation,liburan
3639,vidio,video
3640,w,saya
3641,wadh,aduh
3642,wadoh,aduh
3643,wadon,perempuan
3644,wadu,aduh
3645,waduh,aduh
3646,wae,saja
3647,wagub,wakil gubernur
3648,wait,tunggu
3649,walaupn,walaupun
3650,want,ingin
3651,wareg,kenyang
3652,warkop,warung kopi
3653,warteg,warung tegal
3654,wat,untuk
3655,web,situs
3656,website,situs
3657,wedok,perempuan
3658,wekday,weekday
3659,wekeend,akhir pekan
3660,wekend,akhir pekan
3661,wes,sudah
3662,what,apa
3663,when,kapan
3664,where,dimana
3665,while,ketika
3666,why,kenapa
3667,win,menang
3668,wis,sudah
3669,wkt,waktu
3670,wktu,waktu
3671,wktuny,waktunya
3672,wktunya,waktunya
3673,wnita,wanita
3674,woman,wanita
3675,women,wanita
3676,wonten,ada
3677,Wontene,yang ada
3678,words,kata
3679,work,bekerja
3680,world,dunia
3681,wrn,warna
3682,wrna,warna
3683,wtf,bangsat
3684,Wuedan,edan
3685,yaolo,Ya Allah
3686,yaoloh,Ya Allah
3687,Yaowoh,Ya Allah
3688,yaud,ya sudah
3689,Yauda,ya sudah
3690,yaudah,ya sudah
3691,Yaude,ya sudah
3692,yaudeh,ya sudah
3693,yaudh,ya sudah
3694,yawdah,ya sudah
3695,yawes,ya sudah
3696,yaweslah,ya sudahlah
3697,yawlloh,Ya Allah
3698,yawloh,Ya Allah
3699,Yawoh,Ya Allah
3700,Ydh,ya sudah
3701,year,tahun
3702,yearbok,buku tahunan
3703,yearbook,buku tahunan
3704,yegak,iya tidak
3705,yes,ya
3706,yg,yang
3707,yng,yang
3708,yo,ya
3709,yoi,ya
3710,you,kamu
3711,yowes,ya sudah
3712,yoweslah,ya sudahlah
3713,yowis,ya sudah
3714,yth,yang terhormat
3715,yudeh,ya sudah
3716,yudh,ya sudah
3717,ywd,ya sudah
3718,ywdah,ya sudah
3719,ywdh,ya sudah
3720,ywdhlh,ya sudahlah
3721,ywis,ya sudah
